state,date,cases
Texas,2020-04-28,26868
Washington,2020-04-28,14165
Georgia,2020-04-29,24300
Texas,2020-04-29,27839
Washington,2020-04-29,14490
Georgia,2020-04-30,25431
Texas,2020-04-30,29072
Washington,2020-04-30,14814
Georgia,2020-05-01,26436
Texas,2020-05-01,30342
Washington,2020-05-01,15134
Georgia,2020-05-02,27268
Texas,2020-05-02,31433
Washington,2020-05-02,15383
Georgia,2020-05-03,27618
Texas,2020-05-03,32299
Washington,2020-05-03,15943
Georgia,2020-05-04,28350
Texas,2020-05-04,33134
Washington,2020-05-04,16047
Georgia,2020-05-05,28876
Texas,2020-05-05,34286
Washington,2020-05-05,16234
Georgia,2020-05-06,29724
Texas,2020-05-06,35441
Washington,2020-05-06,16873
Georgia,2020-05-07,30524
Texas,2020-05-07,36682
Washington,2020-05-07,17187
Georgia,2020-05-08,31089
Texas,2020-05-08,37943
Washington,2020-05-08,17477
Georgia,2020-05-09,31481
Texas,2020-05-09,38849
Washington,2020-05-09,17629
Georgia,2020-05-10,32267
Texas,2020-05-10,40037
Washington,2020-05-10,17781
Georgia,2020-05-11,32448
Texas,2020-05-11,40988
Washington,2020-05-11,18172
Georgia,2020-05-12,33311
Texas,2020-05-12,42348
Washington,2020-05-12,18382
Georgia,2020-05-13,33866
Texas,2020-05-13,43822
Washington,2020-05-13,18492
Georgia,2020-05-14,34422
Texas,2020-05-14,45169
Washington,2020-05-14,18861
Georgia,2020-05-15,35242
Texas,2020-05-15,46987
Washington,2020-05-15,19131
Georgia,2020-05-16,35655
Texas,2020-05-16,47866
Washington,2020-05-16,19336
Georgia,2020-05-17,35954
Texas,2020-05-17,48828
Washington,2020-05-17,19514
Georgia,2020-05-18,36634
Texas,2020-05-18,49788
Washington,2020-05-18,19756
Georgia,2020-05-19,37214
Texas,2020-05-19,51080
Washington,2020-05-19,19988
Georgia,2020-05-20,38162
Texas,2020-05-20,52369
Washington,2020-05-20,20110
Georgia,2020-05-21,38969
Texas,2020-05-21,53441
Washington,2020-05-21,20280
Georgia,2020-05-22,39734
Texas,2020-05-22,54369
Washington,2020-05-22,20526
Georgia,2020-05-23,40408
Texas,2020-05-23,55451
Washington,2020-05-23,20740
Georgia,2020-05-24,40989
Texas,2020-05-24,56050
Washington,2020-05-24,20989
Georgia,2020-05-25,41414
Texas,2020-05-25,56490
Washington,2020-05-25,21265
Georgia,2020-05-26,42066
Texas,2020-05-26,57573
Washington,2020-05-26,21538
Georgia,2020-05-27,42713
Texas,2020-05-27,59105
Washington,2020-05-27,21825
Georgia,2020-05-28,43363
Texas,2020-05-28,60820
Washington,2020-05-28,22091
Georgia,2020-05-29,43888
Texas,2020-05-29,62073
Washington,2020-05-29,22377
Georgia,2020-05-30,44336
Texas,2020-05-30,63396
Washington,2020-05-30,22618
Georgia,2020-05-31,45051
Texas,2020-05-31,64974
Washington,2020-05-31,22814
Georgia,2020-06-01,45757
Texas,2020-06-01,66081
Washington,2020-06-01,23272
Georgia,2020-06-02,46063
Texas,2020-06-02,67966
Washington,2020-06-02,23608
Georgia,2020-06-03,46711
Texas,2020-06-03,69546
Washington,2020-06-03,23776
Georgia,2020-06-04,47528
Texas,2020-06-04,71330
Washington,2020-06-04,23999
Georgia,2020-06-05,48280
Texas,2020-06-05,73323
Washington,2020-06-05,24546
Georgia,2020-06-06,48943
Texas,2020-06-06,75077
Washington,2020-06-06,24767
Georgia,2020-06-07,49371
Texas,2020-06-07,75948
Washington,2020-06-07,25064
Georgia,2020-06-08,49995
Texas,2020-06-08,77326
Washington,2020-06-08,25593
Georgia,2020-06-09,50769
Texas,2020-06-09,79271
Washington,2020-06-09,25796
Georgia,2020-06-10,51465
Texas,2020-06-10,81771
Washington,2020-06-10,25940
Georgia,2020-06-11,52332
Texas,2020-06-11,83772
Washington,2020-06-11,26172
Georgia,2020-06-12,53201
Texas,2020-06-12,86031
Washington,2020-06-12,26576
Georgia,2020-06-13,54178
Texas,2020-06-13,88120
Washington,2020-06-13,26920
Georgia,2020-06-14,54874
Texas,2020-06-14,89542
Washington,2020-06-14,27135
Georgia,2020-06-15,55505
Texas,2020-06-15,91726
Washington,2020-06-15,27577
Georgia,2020-06-16,56302
Texas,2020-06-16,95973
Washington,2020-06-16,27949
Georgia,2020-06-17,57217
Texas,2020-06-17,99466
Washington,2020-06-17,28270
Georgia,2020-06-18,58040
Texas,2020-06-18,102677
Washington,2020-06-18,28663
Georgia,2020-06-19,59117
