state,date,positive cases
Florida,2020-06-04,60175
Florida,2020-06-05,61480
Florida,2020-06-06,62750
Florida,2020-06-07,63930
Florida,2020-06-08,64896
Florida,2020-06-09,65992
Florida,2020-06-10,67363
Florida,2020-06-11,69061
Florida,2020-06-12,70963
Florida,2020-06-13,73544
Florida,2020-06-14,75560
Florida,2020-06-15,77318
Florida,2020-06-16,80101
Florida,2020-06-17,82711
Florida,2020-06-18,85918
Florida,2020-06-19,89740
Florida,2020-06-20,93789
Florida,2020-06-21,97283
Florida,2020-06-22,100209
Florida,2020-06-23,103495
Florida,2020-06-24,109006
Florida,2020-06-25,114010
Florida,2020-06-26,122952
Florida,2020-06-27,132537
Florida,2020-06-28,141067
Florida,2020-06-29,146333
Florida,2020-06-30,152426
Florida,2020-07-01,158989
Florida,2020-07-02,169098
Florida,2020-07-03,178586
Florida,2020-07-04,190044
Florida,2020-07-05,200103
Florida,2020-07-06,206439
Florida,2020-07-07,213786
Florida,2020-07-08,223775
Florida,2020-07-09,232710
Florida,2020-07-10,244143
Florida,2020-07-11,254503
Florida,2020-07-12,269803
Florida,2020-07-13,282427
Florida,2020-07-14,291621
Florida,2020-07-15,301802
Florida,2020-07-16,315767
Florida,2020-07-17,327233
Georgia,2020-03-02,2
Georgia,2020-03-03,2
Georgia,2020-03-04,2
Georgia,2020-03-05,2
Georgia,2020-03-06,3
Georgia,2020-03-07,7
Georgia,2020-03-08,11
Georgia,2020-03-09,17
Georgia,2020-03-10,22
Georgia,2020-03-11,31
Georgia,2020-03-12,31
Georgia,2020-03-13,41
Georgia,2020-03-14,65
Georgia,2020-03-15,97
Georgia,2020-03-16,118
Georgia,2020-03-17,142
Georgia,2020-03-18,193
Georgia,2020-03-19,282
Georgia,2020-03-20,482
Georgia,2020-03-21,552
Georgia,2020-03-22,620
Georgia,2020-03-23,800
Georgia,2020-03-24,1095
Georgia,2020-03-25,1385
Georgia,2020-03-26,1641
Georgia,2020-03-27,2198
Georgia,2020-03-28,2447
Georgia,2020-03-29,2683
Georgia,2020-03-30,3032
Georgia,2020-03-31,4116
Georgia,2020-04-01,4747
Georgia,2020-04-02,5444
Georgia,2020-04-03,5967
Georgia,2020-04-04,6383
Georgia,2020-04-05,6742
Georgia,2020-04-06,7558
Georgia,2020-04-07,9156
Georgia,2020-04-08,10204
Georgia,2020-04-09,10885
Georgia,2020-04-10,11859
Georgia,2020-04-11,12261
Georgia,2020-04-12,12103
Georgia,2020-04-13,13125
Georgia,2020-04-14,13913
Georgia,2020-04-15,14583
Georgia,2020-04-16,15644
Georgia,2020-04-17,16658
Georgia,2020-04-18,17014
Georgia,2020-04-19,17619
Georgia,2020-04-20,18447
Georgia,2020-04-21,19189
Georgia,2020-04-22,20099
Georgia,2020-04-23,20905
Georgia,2020-04-24,21575
Georgia,2020-04-25,22225
Georgia,2020-04-26,22459
Georgia,2020-04-27,23229
Georgia,2020-04-28,23607
Georgia,2020-04-29,24300
Georgia,2020-04-30,25431
Georgia,2020-05-01,26436
Georgia,2020-05-02,27268
Georgia,2020-05-03,27618
Georgia,2020-05-04,28350
Georgia,2020-05-05,28876
Georgia,2020-05-06,29724
Georgia,2020-05-07,30524
Georgia,2020-05-08,31089
Georgia,2020-05-09,31481
Georgia,2020-05-10,32267
Georgia,2020-05-11,32448
Georgia,2020-05-12,33311
Georgia,2020-05-13,33866
Georgia,2020-05-14,34422
Georgia,2020-05-15,35242
Georgia,2020-05-16,35655
Georgia,2020-05-17,35954
Georgia,2020-05-18,36634
Georgia,2020-05-19,37214
Georgia,2020-05-20,38162
Georgia,2020-05-21,38969
Georgia,2020-05-22,39734
Georgia,2020-05-23,40408
Georgia,2020-05-24,40989
Georgia,2020-05-25,41414
Georgia,2020-05-26,42066
Georgia,2020-05-27,42713
Georgia,2020-05-28,43363
Georgia,2020-05-29,43888
Georgia,2020-05-30,44336
Georgia,2020-05-31,45051
Georgia,2020-06-01,45757
Georgia,2020-06-02,46063
Georgia,2020-06-03,46711
Georgia,2020-06-04,47528
Georgia,2020-06-05,48280
Georgia,2020-06-06,48943
Georgia,2020-06-07,49371
Georgia,2020-06-08,49995
Georgia,2020-06-09,50769
Georgia,2020-06-10,51465
Georgia,2020-06-11,52332
Georgia,2020-06-12,53201
Georgia,2020-06-13,54178
Georgia,2020-06-14,54874
Georgia,2020-06-15,55505
Georgia,2020-06-16,56302
Georgia,2020-06-17,57217
Georgia,2020-06-18,58040
Georgia,2020-06-19,59117
Georgia,2020-06-20,60669
Georgia,2020-06-21,61493
Georgia,2020-06-22,62705
Georgia,2020-06-23,64577
Georgia,2020-06-24,66290
Georgia,2020-06-25,67796
Georgia,2020-06-26,69542
Georgia,2020-06-27,71066
Georgia,2020-06-28,72800
Georgia,2020-06-29,74816
Georgia,2020-06-30,77280
Georgia,2020-07-01,79589
Georgia,2020-07-02,82475
Georgia,2020-07-03,85079
Georgia,2020-07-04,87592
Georgia,2020-07-05,89489
Georgia,2020-07-06,91015
Georgia,2020-07-07,93707
Georgia,2020-07-08,96538
Georgia,2020-07-09,98693
Georgia,2020-07-10,103597
Georgia,2020-07-11,106574
Georgia,2020-07-12,108389
Georgia,2020-07-13,111937
Georgia,2020-07-14,114579
Georgia,2020-07-15,118147
Georgia,2020-07-16,120848
Georgia,2020-07-17,124267
New York,2020-03-01,1
New York,2020-03-02,1
New York,2020-03-03,2
New York,2020-03-04,11
New York,2020-03-05,22
New York,2020-03-06,44
New York,2020-03-07,89
New York,2020-03-08,106
New York,2020-03-09,142
New York,2020-03-10,173
New York,2020-03-11,217
New York,2020-03-12,326
New York,2020-03-13,421
New York,2020-03-14,610
New York,2020-03-15,732
New York,2020-03-16,950
New York,2020-03-17,1375
New York,2020-03-18,2387
New York,2020-03-19,4161
New York,2020-03-20,7113
New York,2020-03-21,10371
New York,2020-03-22,15188
New York,2020-03-23,20899
New York,2020-03-24,25704
New York,2020-03-25,33117
New York,2020-03-26,39058
New York,2020-03-27,44746
New York,2020-03-28,53517
New York,2020-03-29,59783
New York,2020-03-30,67504
New York,2020-03-31,76211
New York,2020-04-01,84364
New York,2020-04-02,93360
New York,2020-04-03,103689
New York,2020-04-04,115963
New York,2020-04-05,124085
New York,2020-04-06,133389
New York,2020-04-07,141703
New York,2020-04-08,151271
New York,2020-04-09,162036
New York,2020-04-10,172830
New York,2020-04-11,182990
New York,2020-04-12,191425
New York,2020-04-13,197973
New York,2020-04-14,205375
New York,2020-04-15,217130
New York,2020-04-16,225761
New York,2020-04-17,233293
New York,2020-04-18,240542
New York,2020-04-19,246741
New York,2020-04-20,251608
New York,2020-04-21,255932
New York,2020-04-22,261591
New York,2020-04-23,267932
New York,2020-04-24,276218
New York,2020-04-25,286901
New York,2020-04-26,292914
New York,2020-04-27,296991
New York,2020-04-28,300276
New York,2020-04-29,304994
New York,2020-04-30,309696
New York,2020-05-01,313575
New York,2020-05-02,318134
New York,2020-05-03,321833
New York,2020-05-04,324357
New York,2020-05-05,326659
New York,2020-05-06,329405
New York,2020-05-07,332931
New York,2020-05-08,335804
New York,2020-05-09,338519
New York,2020-05-10,340657
New York,2020-05-11,342267
New York,2020-05-12,343705
New York,2020-05-13,345828
New York,2020-05-14,348192
New York,2020-05-15,350951
New York,2020-05-16,353136
New York,2020-05-17,355037
New York,2020-05-18,356278
New York,2020-05-19,357757
New York,2020-05-20,359235
New York,2020-05-21,361313
New York,2020-05-22,362991
New York,2020-05-23,364745
New York,2020-05-24,366346
New York,2020-05-25,367625
New York,2020-05-26,368669
New York,2020-05-27,369801
New York,2020-05-28,371559
New York,2020-05-29,373108
New York,2020-05-30,374471
New York,2020-05-31,375575
New York,2020-06-01,376520
New York,2020-06-02,377881
New York,2020-06-03,378924
New York,2020-06-04,379977
New York,2020-06-05,381019
New York,2020-06-06,382102
New York,2020-06-07,382879
New York,2020-06-08,383591
New York,2020-06-09,384281
New York,2020-06-10,384945
New York,2020-06-11,385669
New York,2020-06-12,386490
New York,2020-06-13,387402
New York,2020-06-14,388096
New York,2020-06-15,388719
New York,2020-06-16,389349
New York,2020-06-17,389910
New York,2020-06-18,390536
New York,2020-06-19,391330
New York,2020-06-20,392037
New York,2020-06-21,392702
New York,2020-06-22,393257
New York,2020-06-23,393855
New York,2020-06-24,394430
New York,2020-06-25,395168
New York,2020-06-26,395972
New York,2020-06-27,396669
New York,2020-06-28,397293
New York,2020-06-29,397684
New York,2020-06-30,398142
New York,2020-07-01,398770
New York,2020-07-02,399642
New York,2020-07-03,400561
New York,2020-07-04,401286
New York,2020-07-05,401822
New York,2020-07-06,402338
New York,2020-07-07,402928
New York,2020-07-08,403619
New York,2020-07-09,404207
New York,2020-07-10,404997
New York,2020-07-11,405724
New York,2020-07-12,406403
New York,2020-07-13,406962
New York,2020-07-14,407875
New York,2020-07-15,408709
New York,2020-07-16,409476
New York,2020-07-17,410254
Texas,2020-03-01,11
Texas,2020-03-02,11
Texas,2020-03-03,11
Texas,2020-03-04,12
Texas,2020-03-05,16
Texas,2020-03-06,19
Texas,2020-03-07,19
Texas,2020-03-08,23
Texas,2020-03-09,24
Texas,2020-03-10,31
Texas,2020-03-11,33
Texas,2020-03-12,41
Texas,2020-03-13,58
Texas,2020-03-14,69
Texas,2020-03-15,80
Texas,2020-03-16,87
Texas,2020-03-17,106
Texas,2020-03-18,166
Texas,2020-03-19,248
Texas,2020-03-20,386
Texas,2020-03-21,547
Texas,2020-03-22,639
Texas,2020-03-23,728
Texas,2020-03-24,857
Texas,2020-03-25,1132
Texas,2020-03-26,1542
Texas,2020-03-27,1971
Texas,2020-03-28,2381
Texas,2020-03-29,2722
Texas,2020-03-30,3065
Texas,2020-03-31,3588
Texas,2020-04-01,4402
Texas,2020-04-02,4952
Texas,2020-04-03,5773
Texas,2020-04-04,6566
Texas,2020-04-05,7117
Texas,2020-04-06,8150
Texas,2020-04-07,8968
Texas,2020-04-08,9897
Texas,2020-04-09,11372
Texas,2020-04-10,12291
Texas,2020-04-11,13208
Texas,2020-04-12,13776
Texas,2020-04-13,14487
Texas,2020-04-14,15303
Texas,2020-04-15,16106
Texas,2020-04-16,16928
Texas,2020-04-17,18131
Texas,2020-04-18,18927
Texas,2020-04-19,19441
Texas,2020-04-20,20035
Texas,2020-04-21,20949
Texas,2020-04-22,21769
Texas,2020-04-23,22706
Texas,2020-04-24,23650
Texas,2020-04-25,24494
Texas,2020-04-26,25209
Texas,2020-04-27,25963
Texas,2020-04-28,26868
Texas,2020-04-29,27839
Texas,2020-04-30,29072
Texas,2020-05-01,30342
Texas,2020-05-02,31433
Texas,2020-05-03,32299
Texas,2020-05-04,33134
Texas,2020-05-05,34286
Texas,2020-05-06,35441
Texas,2020-05-07,36682
Texas,2020-05-08,37943
Texas,2020-05-09,38849
Texas,2020-05-10,40037
Texas,2020-05-11,40988
Texas,2020-05-12,42348
Texas,2020-05-13,43822
Texas,2020-05-14,45169
Texas,2020-05-15,46987
Texas,2020-05-16,47866
Texas,2020-05-17,48828
Texas,2020-05-18,49788
Texas,2020-05-19,51080
Texas,2020-05-20,52369
Texas,2020-05-21,53441
Texas,2020-05-22,54369
Texas,2020-05-23,55451
Texas,2020-05-24,56050
Texas,2020-05-25,56490
Texas,2020-05-26,57573
Texas,2020-05-27,59105
Texas,2020-05-28,60820
Texas,2020-05-29,62073
Texas,2020-05-30,63396
Texas,2020-05-31,64974
Texas,2020-06-01,66081
Texas,2020-06-02,67966
Texas,2020-06-03,69546
Texas,2020-06-04,71330
Texas,2020-06-05,73323
Texas,2020-06-06,75077
Texas,2020-06-07,75948
Texas,2020-06-08,77326
Texas,2020-06-09,79271
Texas,2020-06-10,81771
Texas,2020-06-11,83772
Texas,2020-06-12,86031
Texas,2020-06-13,88120
Texas,2020-06-14,89542
Texas,2020-06-15,91726
Texas,2020-06-16,95973
Texas,2020-06-17,99466
Texas,2020-06-18,102677
Texas,2020-06-19,107322
Texas,2020-06-20,111594
Texas,2020-06-21,114886
Texas,2020-06-22,119646
Texas,2020-06-23,124726
Texas,2020-06-24,131310
Texas,2020-06-25,136783
Texas,2020-06-26,142582
Texas,2020-06-27,148639
Texas,2020-06-28,152437
Texas,2020-06-29,158756
Texas,2020-06-30,166703
Texas,2020-07-01,174826
Texas,2020-07-02,182260
Texas,2020-07-03,189418
Texas,2020-07-04,195707
Texas,2020-07-05,200137
Texas,2020-07-06,209350
Texas,2020-07-07,219164
Texas,2020-07-08,229116
Texas,2020-07-09,240025
Texas,2020-07-10,249948
Texas,2020-07-11,258280
Texas,2020-07-12,264811
Texas,2020-07-13,273732
Texas,2020-07-14,284638
Texas,2020-07-15,296478
Texas,2020-07-16,311516
Texas,2020-07-17,321254
Washington,2020-03-01,17
Washington,2020-03-02,23
Washington,2020-03-03,32
Washington,2020-03-04,47
Washington,2020-03-05,75
Washington,2020-03-06,86
Washington,2020-03-07,110
Washington,2020-03-08,141
Washington,2020-03-09,179
Washington,2020-03-10,279
Washington,2020-03-11,338
Washington,2020-03-12,419
Washington,2020-03-13,511
Washington,2020-03-14,609
Washington,2020-03-15,675
Washington,2020-03-16,794
Washington,2020-03-17,908
Washington,2020-03-18,1026
Washington,2020-03-19,1228
Washington,2020-03-20,1404
Washington,2020-03-21,1655
Washington,2020-03-22,1844
Washington,2020-03-23,2101
Washington,2020-03-24,2469
Washington,2020-03-25,2585
Washington,2020-03-26,3208
Washington,2020-03-27,3770
Washington,2020-03-28,4311
Washington,2020-03-29,4897
Washington,2020-03-30,5180
Washington,2020-03-31,5293
Washington,2020-04-01,5589
Washington,2020-04-02,6586
Washington,2020-04-03,6967
Washington,2020-04-04,7499
Washington,2020-04-05,7985
Washington,2020-04-06,8385
Washington,2020-04-07,8683
Washington,2020-04-08,9098
Washington,2020-04-09,9609
Washington,2020-04-10,9888
Washington,2020-04-11,10227
Washington,2020-04-12,10414
Washington,2020-04-13,10547
Washington,2020-04-14,10711
Washington,2020-04-15,10806
Washington,2020-04-16,11180
Washington,2020-04-17,11479
Washington,2020-04-18,11850
Washington,2020-04-19,11864
Washington,2020-04-20,12255
Washington,2020-04-21,12410
Washington,2020-04-22,12606
Washington,2020-04-23,12981
Washington,2020-04-24,13197
Washington,2020-04-25,13565
Washington,2020-04-26,13744
Washington,2020-04-27,13958
Washington,2020-04-28,14165
Washington,2020-04-29,14490
Washington,2020-04-30,14814
Washington,2020-05-01,15134
Washington,2020-05-02,15383
Washington,2020-05-03,15943
Washington,2020-05-04,16047
Washington,2020-05-05,16234
Washington,2020-05-06,16873
Washington,2020-05-07,17187
Washington,2020-05-08,17477
Washington,2020-05-09,17629
Washington,2020-05-10,17781
Washington,2020-05-11,18172
Washington,2020-05-12,18382
Washington,2020-05-13,18492
Washington,2020-05-14,18861
Washington,2020-05-15,19131
Washington,2020-05-16,19336
Washington,2020-05-17,19514
Washington,2020-05-18,19756
Washington,2020-05-19,19988
Washington,2020-05-20,20110
Washington,2020-05-21,20280
Washington,2020-05-22,20526
Washington,2020-05-23,20740
Washington,2020-05-24,20989
Washington,2020-05-25,21265
Washington,2020-05-26,21538
Washington,2020-05-27,21825
Washington,2020-05-28,22091
Washington,2020-05-29,22377
Washington,2020-05-30,22618
Washington,2020-05-31,22814
Washington,2020-06-01,23272
Washington,2020-06-02,23608
Washington,2020-06-03,23776
Washington,2020-06-04,23999
Washington,2020-06-05,24546
Washington,2020-06-06,24767
Washington,2020-06-07,25064
Washington,2020-06-08,25593
Washington,2020-06-09,25796
Washington,2020-06-10,25940
Washington,2020-06-11,26172
Washington,2020-06-12,26576
Washington,2020-06-13,26920
Washington,2020-06-14,27135
Washington,2020-06-15,27577
Washington,2020-06-16,27949
Washington,2020-06-17,28270
Washington,2020-06-18,28663
Washington,2020-06-19,29045
Washington,2020-06-20,29466
Washington,2020-06-21,29797
Washington,2020-06-22,30443
Washington,2020-06-23,30778
Washington,2020-06-24,31400
Washington,2020-06-25,31998
Washington,2020-06-26,32489
Washington,2020-06-27,33031
Washington,2020-06-28,33341
Washington,2020-06-29,34036
Washington,2020-06-30,34541
Washington,2020-07-01,35258
Washington,2020-07-02,35921
Washington,2020-07-03,36417
Washington,2020-07-04,36799
Washington,2020-07-05,37468
Washington,2020-07-06,38517
Washington,2020-07-07,39063
Washington,2020-07-08,39661
Washington,2020-07-09,40369
Washington,2020-07-10,41090
Washington,2020-07-11,41326
Washington,2020-07-12,42181
Washington,2020-07-13,43538
Washington,2020-07-14,44257
Washington,2020-07-15,45004
Washington,2020-07-16,46268
Washington,2020-07-17,47226
