state,date,positive cases,negative cases
Texas,2020-06-16,93206,1255236
Washington,2020-06-16,27925,426586
Florida,2020-06-15,77326,1352858
Georgia,2020-06-15,58414,572082
New York,2020-06-15,383944,2607266
Texas,2020-06-15,89108,1225653
Washington,2020-06-15,27493,416076
Florida,2020-06-14,75568,1333447
Georgia,2020-06-14,57681,563109
New York,2020-06-14,383324,2551275
Texas,2020-06-14,87854,1208129
Washington,2020-06-14,27095,405799
Florida,2020-06-13,73552,1296861
Georgia,2020-06-13,56801,542879
New York,2020-06-13,382630,2489610
Texas,2020-06-13,86011,1174308
Washington,2020-06-13,26985,402149
Florida,2020-06-12,70971,1264928
Georgia,2020-06-12,55783,536175
New York,2020-06-12,381714,2419686
Texas,2020-06-12,83680,1143277
Washington,2020-06-12,26825,396220
Florida,2020-06-11,69069,1237679
Georgia,2020-06-11,54973,529268
New York,2020-06-11,380892,2348113
Texas,2020-06-11,81583,1124737
Washington,2020-06-11,26559,387295
Florida,2020-06-10,67371,1211652
Georgia,2020-06-10,53980,516975
New York,2020-06-10,380156,2288010
Texas,2020-06-10,79757,1081330
Washington,2020-06-10,26281,376364
Florida,2020-06-09,66000,1192305
Georgia,2020-06-09,53249,503934
New York,2020-06-09,379482,2226387
Texas,2020-06-09,77253,1070102
Washington,2020-06-09,26004,365086
Florida,2020-06-08,64904,1169646
Georgia,2020-06-08,52497,496878
New York,2020-06-08,378799,2177097
Texas,2020-06-08,75616,1044700
Washington,2020-06-08,25732,355573
Florida,2020-06-07,63938,1152220
Georgia,2020-06-07,51898,487986
New York,2020-06-07,378097,2119745
Texas,2020-06-07,74978,1025468
Washington,2020-06-07,25419,347610
Florida,2020-06-06,62758,1111427
Georgia,2020-06-06,51309,471548
New York,2020-06-06,377316,2060091
Texas,2020-06-06,73553,1019724
Washington,2020-06-06,25227,345430
Florida,2020-06-05,61488,1073452
Georgia,2020-06-05,50621,457167
New York,2020-06-05,376208,1983304
Texas,2020-06-05,71613,989963
Washington,2020-06-05,25023,341885
Florida,2020-06-04,60183,1046860
Georgia,2020-06-04,49847,446484
New York,2020-06-04,375133,1917899
Texas,2020-06-04,69920,968635
Washington,2020-06-04,24677,335972
Florida,2020-06-03,58764,1022149
Georgia,2020-06-03,48894,433818
New York,2020-06-03,374085,1855388
Texas,2020-06-03,68271,938497
Washington,2020-06-03,24385,331675
Florida,2020-06-02,57447,992305
Georgia,2020-06-02,48207,426080
New York,2020-06-02,373040,1794791
Texas,2020-06-02,66568,919656
Washington,2020-06-02,24086,326646
Florida,2020-06-01,56830,983570
Georgia,2020-06-01,47618,424013
New York,2020-06-01,371711,1742066
Texas,2020-06-01,64880,905151
Washington,2020-06-01,23798,320527
Florida,2020-05-31,56163,965186
Georgia,2020-05-31,46986,418539
New York,2020-05-31,370770,1693055
Texas,2020-05-31,64287,887578
Washington,2020-05-31,23456,314671
Florida,2020-05-30,55424,939544
Georgia,2020-05-30,46286,408552
New York,2020-05-30,369660,1635721
Texas,2020-05-30,62338,866179
Washington,2020-05-30,23275,312508
Florida,2020-05-29,54497,928742
Georgia,2020-05-29,45670,404601
New York,2020-05-29,368284,1575846
Texas,2020-05-29,61006,832269
Washington,2020-05-29,23047,309438
Florida,2020-05-28,53285,898331
Georgia,2020-05-28,45070,399576
New York,2020-05-28,366733,1510056
Texas,2020-05-28,59776,813442
Washington,2020-05-28,22753,304340
Florida,2020-05-27,52634,880937
Georgia,2020-05-27,44421,396335
New York,2020-05-27,364965,1446579
Texas,2020-05-27,57921,797753
Washington,2020-05-27,22483,299378
Florida,2020-05-26,52255,870969
Georgia,2020-05-26,43730,471215
New York,2020-05-26,363836,1410292
Texas,2020-05-26,56560,764673
Washington,2020-05-26,22184,293934
Florida,2020-05-25,51746,856489
Georgia,2020-05-25,43344,470201
New York,2020-05-25,362764,1376685
Texas,2020-05-25,55971,749683
Washington,2020-05-25,21909,287314
Florida,2020-05-24,50867,820368
Georgia,2020-05-24,42838,439116
New York,2020-05-24,361515,1338311
Texas,2020-05-24,55348,708197
Washington,2020-05-24,21652,285088
Florida,2020-05-23,50127,806310
Georgia,2020-05-23,42132,411405
New York,2020-05-23,359926,1292135
Texas,2020-05-23,54509,708197
Washington,2020-05-23,21492,282906
Florida,2020-05-22,49451,786045
Georgia,2020-05-22,41218,386031
New York,2020-05-22,358154,1242639
Texas,2020-05-22,53449,687913
Washington,2020-05-22,21283,280444
Florida,2020-05-21,48675,765254
Georgia,2020-05-21,40405,367326
New York,2020-05-21,356458,1198597
Texas,2020-05-21,52268,687913
Washington,2020-05-21,20988,276171
Florida,2020-05-20,47471,723877
Georgia,2020-05-20,39647,363293
New York,2020-05-20,354370,1151466
Texas,2020-05-20,51323,669605
Washington,2020-05-20,20784,271703
Florida,2020-05-19,46944,668911
Georgia,2020-05-19,38721,339435
New York,2020-05-19,352845,1114894
Texas,2020-05-19,49912,650234
Washington,2020-05-19,20535,266314
Florida,2020-05-18,46442,629970
Georgia,2020-05-18,38081,326208
New York,2020-05-18,351371,1088186
Texas,2020-05-18,48693,631152
Washington,2020-05-18,20286,259467
Florida,2020-05-17,45588,606204
Georgia,2020-05-17,37701,313474
New York,2020-05-17,350121,1063275
Texas,2020-05-17,47784,602571
