state,date,positive cases
Connecticut,2020-03-08,1
Connecticut,2020-03-09,2
Connecticut,2020-03-10,2
Connecticut,2020-03-11,3
Connecticut,2020-03-12,6
Connecticut,2020-03-13,11
Connecticut,2020-03-14,20
Connecticut,2020-03-15,26
Connecticut,2020-03-16,41
Connecticut,2020-03-17,68
Connecticut,2020-03-18,96
Connecticut,2020-03-19,159
Connecticut,2020-03-20,194
Connecticut,2020-03-21,223
Connecticut,2020-03-22,327
Connecticut,2020-03-23,415
Connecticut,2020-03-24,618
Connecticut,2020-03-25,875
Connecticut,2020-03-26,1012
Connecticut,2020-03-27,1291
Connecticut,2020-03-28,1524
Connecticut,2020-03-29,1993
Connecticut,2020-03-30,2571
Connecticut,2020-03-31,3128
Connecticut,2020-04-01,3557
Connecticut,2020-04-02,3824
Connecticut,2020-04-03,4915
Connecticut,2020-04-04,5276
Connecticut,2020-04-05,5675
Connecticut,2020-04-06,6906
Connecticut,2020-04-07,7781
Connecticut,2020-04-08,8781
Connecticut,2020-04-09,9784
Connecticut,2020-04-10,10538
Connecticut,2020-04-11,11510
Connecticut,2020-04-12,12035
Connecticut,2020-04-13,13381
Connecticut,2020-04-14,13989
Connecticut,2020-04-15,14755
Connecticut,2020-04-16,15884
Connecticut,2020-04-17,16809
Connecticut,2020-04-18,17550
Connecticut,2020-04-19,17962
Connecticut,2020-04-20,19815
Connecticut,2020-04-21,20360
Connecticut,2020-04-22,22469
Connecticut,2020-04-23,23100
Connecticut,2020-04-24,23921
Connecticut,2020-04-25,24582
Connecticut,2020-04-26,25269
Connecticut,2020-04-27,25997
Connecticut,2020-04-28,26312
Connecticut,2020-04-29,26767
Connecticut,2020-04-30,27700
Connecticut,2020-05-01,28764
Connecticut,2020-05-02,29287
Connecticut,2020-05-03,29287
Connecticut,2020-05-04,29973
Connecticut,2020-05-05,30621
Connecticut,2020-05-06,30995
Connecticut,2020-05-07,31784
Connecticut,2020-05-08,32411
Connecticut,2020-05-09,32984
Connecticut,2020-05-10,33554
Connecticut,2020-05-11,33765
Connecticut,2020-05-12,34333
Connecticut,2020-05-13,34855
Connecticut,2020-05-14,35464
Connecticut,2020-05-15,36085
Connecticut,2020-05-16,36703
Connecticut,2020-05-17,37419
Connecticut,2020-05-18,38116
Connecticut,2020-05-19,38430
Connecticut,2020-05-20,39017
Connecticut,2020-05-21,39208
Connecticut,2020-05-22,39640
Connecticut,2020-05-23,40022
Connecticut,2020-05-24,40468
Connecticut,2020-05-25,40873
Connecticut,2020-05-26,41303
Connecticut,2020-05-27,41288
Connecticut,2020-05-28,41559
Connecticut,2020-05-29,41762
Connecticut,2020-05-30,42022
Connecticut,2020-05-31,42201
Connecticut,2020-06-01,42740
Connecticut,2020-06-02,42979
Connecticut,2020-06-03,43091
Connecticut,2020-06-04,43239
Connecticut,2020-06-05,43460
Connecticut,2020-06-06,43818
Connecticut,2020-06-07,43968
Connecticut,2020-06-08,44092
Connecticut,2020-06-09,44179
Connecticut,2020-06-10,44347
Connecticut,2020-06-11,44461
Connecticut,2020-06-12,44689
Connecticut,2020-06-13,44994
Connecticut,2020-06-14,45088
Connecticut,2020-06-15,45235
Connecticut,2020-06-16,45349
Connecticut,2020-06-17,45429
Connecticut,2020-06-18,45440
Connecticut,2020-06-19,45557
Connecticut,2020-06-20,45715
Connecticut,2020-06-21,45755
Connecticut,2020-06-22,45782
Connecticut,2020-06-23,45899
Connecticut,2020-06-24,45913
Connecticut,2020-06-25,45994
Connecticut,2020-06-26,46059
Connecticut,2020-06-27,46206
Connecticut,2020-06-28,46303
Connecticut,2020-06-29,46362
Connecticut,2020-06-30,46514
Connecticut,2020-07-01,46572
Connecticut,2020-07-02,46646
Connecticut,2020-07-03,46717
Connecticut,2020-07-04,46717
Connecticut,2020-07-05,46717
Connecticut,2020-07-06,46976
Connecticut,2020-07-07,47033
Connecticut,2020-07-08,47108
Connecticut,2020-07-09,47209
Connecticut,2020-07-10,47287
Connecticut,2020-07-11,47287
Connecticut,2020-07-12,47287
Connecticut,2020-07-13,47510
Connecticut,2020-07-14,47530
Connecticut,2020-07-15,47636
Connecticut,2020-07-16,47750
Connecticut,2020-07-17,47893
Connecticut,2020-07-18,47893
Connecticut,2020-07-19,47893
Florida,2020-03-01,2
Florida,2020-03-02,2
Florida,2020-03-03,3
Florida,2020-03-04,3
Florida,2020-03-05,4
Florida,2020-03-06,7
Florida,2020-03-07,12
Florida,2020-03-08,13
Florida,2020-03-09,14
Florida,2020-03-10,23
Florida,2020-03-11,26
Florida,2020-03-12,46
Florida,2020-03-13,70
Florida,2020-03-14,70
Florida,2020-03-15,109
Florida,2020-03-16,141
Florida,2020-03-17,210
Florida,2020-03-18,326
Florida,2020-03-19,434
Florida,2020-03-20,564
Florida,2020-03-21,764
Florida,2020-03-22,1000
Florida,2020-03-23,1222
Florida,2020-03-24,1467
Florida,2020-03-25,1971
Florida,2020-03-26,2478
Florida,2020-03-27,3198
Florida,2020-03-28,4038
Florida,2020-03-29,4943
Florida,2020-03-30,5695
Florida,2020-03-31,6742
Florida,2020-04-01,7769
Florida,2020-04-02,9000
Florida,2020-04-03,10260
Florida,2020-04-04,11537
Florida,2020-04-05,12342
Florida,2020-04-06,13621
Florida,2020-04-07,14739
Florida,2020-04-08,15690
Florida,2020-04-09,16819
Florida,2020-04-10,17960
Florida,2020-04-11,18978
Florida,2020-04-12,19855
Florida,2020-04-13,21011
Florida,2020-04-14,21620
Florida,2020-04-15,22526
Florida,2020-04-16,23332
Florida,2020-04-17,24745
Florida,2020-04-18,25484
Florida,2020-04-19,26306
Florida,2020-04-20,27050
Florida,2020-04-21,27861
Florida,2020-04-22,28301
Florida,2020-04-23,29640
Florida,2020-04-24,30525
Florida,2020-04-25,30831
Florida,2020-04-26,31520
Florida,2020-04-27,32130
Florida,2020-04-28,32838
Florida,2020-04-29,33185
Florida,2020-04-30,33683
Florida,2020-05-01,34720
Florida,2020-05-02,35455
Florida,2020-05-03,36070
Florida,2020-05-04,36889
Florida,2020-05-05,37431
Florida,2020-05-06,37994
Florida,2020-05-07,38820
Florida,2020-05-08,39191
Florida,2020-05-09,39993
Florida,2020-05-10,40588
Florida,2020-05-11,40974
Florida,2020-05-12,41915
Florida,2020-05-13,42394
Florida,2020-05-14,43202
Florida,2020-05-15,44130
Florida,2020-05-16,44803
Florida,2020-05-17,45580
Florida,2020-05-18,46434
Florida,2020-05-19,46936
Florida,2020-05-20,47463
Florida,2020-05-21,48667
Florida,2020-05-22,49443
Florida,2020-05-23,50119
Florida,2020-05-24,50859
Florida,2020-05-25,51738
Florida,2020-05-26,52247
Florida,2020-05-27,52626
Florida,2020-05-28,53277
Florida,2020-05-29,54489
Florida,2020-05-30,55416
Florida,2020-05-31,56155
Florida,2020-06-01,56822
Florida,2020-06-02,57439
Florida,2020-06-03,58756
Florida,2020-06-04,60175
Florida,2020-06-05,61480
Florida,2020-06-06,62750
Florida,2020-06-07,63930
Florida,2020-06-08,64896
Florida,2020-06-09,65992
Florida,2020-06-10,67363
Florida,2020-06-11,69061
Florida,2020-06-12,70963
Florida,2020-06-13,73544
Florida,2020-06-14,75560
Florida,2020-06-15,77318
Florida,2020-06-16,80101
Florida,2020-06-17,82711
Florida,2020-06-18,85918
Florida,2020-06-19,89740
Florida,2020-06-20,93789
Florida,2020-06-21,97283
Florida,2020-06-22,100209
Florida,2020-06-23,103495
Florida,2020-06-24,109006
Florida,2020-06-25,114010
Florida,2020-06-26,122952
Florida,2020-06-27,132537
Florida,2020-06-28,141067
Florida,2020-06-29,146333
Florida,2020-06-30,152426
Florida,2020-07-01,158989
Florida,2020-07-02,169098
Florida,2020-07-03,178586
Florida,2020-07-04,190044
Florida,2020-07-05,200103
Florida,2020-07-06,206439
Florida,2020-07-07,213786
Florida,2020-07-08,223775
Florida,2020-07-09,232710
Florida,2020-07-10,244143
Florida,2020-07-11,254503
Florida,2020-07-12,269803
Florida,2020-07-13,282427
Florida,2020-07-14,291621
Florida,2020-07-15,301802
Florida,2020-07-16,315767
Florida,2020-07-17,327233
Florida,2020-07-18,337561
Florida,2020-07-19,350039
Georgia,2020-03-02,2
Georgia,2020-03-03,2
Georgia,2020-03-04,2
Georgia,2020-03-05,2
Georgia,2020-03-06,3
Georgia,2020-03-07,7
Georgia,2020-03-08,11
Georgia,2020-03-09,17
Georgia,2020-03-10,22
Georgia,2020-03-11,31
Georgia,2020-03-12,31
Georgia,2020-03-13,41
Georgia,2020-03-14,65
Georgia,2020-03-15,97
Georgia,2020-03-16,118
Georgia,2020-03-17,142
Georgia,2020-03-18,193
Georgia,2020-03-19,282
Georgia,2020-03-20,482
Georgia,2020-03-21,552
Georgia,2020-03-22,620
Georgia,2020-03-23,800
Georgia,2020-03-24,1095
Georgia,2020-03-25,1385
Georgia,2020-03-26,1641
Georgia,2020-03-27,2198
