state,date,positive
FL,20200304,2.0
FL,20200305,9.0
FL,20200306,9.0
FL,20200307,14.0
FL,20200308,17.0
FL,20200309,18.0
FL,20200310,19.0
FL,20200311,28.0
FL,20200312,32.0
FL,20200313,50.0
FL,20200314,77.0
FL,20200315,116.0
FL,20200316,141.0
FL,20200317,186.0
FL,20200318,314.0
FL,20200319,390.0
FL,20200320,520.0
FL,20200321,658.0
FL,20200322,830.0
FL,20200323,1171.0
FL,20200324,1412.0
FL,20200325,1682.0
FL,20200326,2355.0
FL,20200327,2765.0
FL,20200328,3763.0
FL,20200329,4246.0
FL,20200330,5473.0
FL,20200331,6338.0
FL,20200401,6955.0
FL,20200402,8010.0
FL,20200403,9585.0
FL,20200404,11111.0
FL,20200405,12151.0
FL,20200406,13324.0
FL,20200407,14747.0
FL,20200408,15455.0
FL,20200409,16364.0
FL,20200410,17531.0
FL,20200411,18494.0
FL,20200412,19355.0
FL,20200413,20601.0
FL,20200414,21367.0
FL,20200415,22511.0
FL,20200416,22897.0
FL,20200417,24119.0
FL,20200418,25269.0
FL,20200419,25996.0
FL,20200420,26660.0
FL,20200421,27495.0
FL,20200422,28309.0
FL,20200423,28832.0
FL,20200424,30174.0
FL,20200425,30839.0
FL,20200426,31528.0
FL,20200427,32138.0
FL,20200428,32846.0
FL,20200429,33193.0
FL,20200430,33690.0
FL,20200501,34728.0
FL,20200502,35463.0
FL,20200503,36078.0
FL,20200504,36897.0
FL,20200505,37439.0
FL,20200506,38002.0
FL,20200507,38828.0
FL,20200508,39199.0
FL,20200509,40001.0
FL,20200510,40596.0
FL,20200511,40982.0
FL,20200512,41923.0
FL,20200513,42402.0
FL,20200514,43210.0
FL,20200515,43210.0
FL,20200516,44811.0
FL,20200517,45588.0
FL,20200518,46442.0
FL,20200519,46944.0
FL,20200520,47471.0
FL,20200521,48675.0
FL,20200522,49451.0
FL,20200523,50127.0
FL,20200524,50867.0
FL,20200525,51746.0
FL,20200526,52255.0
FL,20200527,52634.0
FL,20200528,53285.0
FL,20200529,54497.0
FL,20200530,55424.0
FL,20200531,56163.0
FL,20200601,56830.0
FL,20200602,57447.0
FL,20200603,58764.0
FL,20200604,60183.0
FL,20200605,61488.0
FL,20200606,62758.0
FL,20200607,63938.0
FL,20200608,64904.0
FL,20200609,66000.0
FL,20200610,67371.0
FL,20200611,69069.0
FL,20200612,70971.0
FL,20200613,73552.0
FL,20200614,75568.0
FL,20200615,77326.0
FL,20200616,80109.0
FL,20200617,82719.0
FL,20200618,85926.0
FL,20200619,89748.0
FL,20200620,93797.0
FL,20200621,97291.0
FL,20200622,100217.0
FL,20200623,103503.0
FL,20200624,109014.0
FL,20200625,114018.0
FL,20200626,122960.0
FL,20200627,132545.0
FL,20200628,141075.0
FL,20200629,146341.0
FL,20200630,152434.0
FL,20200701,158997.0
FL,20200702,169106.0
FL,20200703,178594.0
FL,20200704,190052.0
FL,20200705,200111.0
FL,20200706,206447.0
FL,20200707,213794.0
FL,20200708,223783.0
FL,20200709,232718.0
FL,20200710,244151.0
FL,20200711,254511.0
FL,20200712,269811.0
FL,20200713,282435.0
FL,20200714,291629.0
FL,20200715,301810.0
FL,20200716,315775.0
FL,20200717,327241.0
GA,20200304,2.0
GA,20200305,2.0
GA,20200306,2.0
GA,20200307,6.0
GA,20200308,7.0
GA,20200309,12.0
GA,20200310,17.0
GA,20200311,22.0
GA,20200312,31.0
GA,20200313,42.0
GA,20200314,66.0
GA,20200315,99.0
GA,20200316,121.0
GA,20200317,146.0
GA,20200318,197.0
GA,20200319,287.0
GA,20200320,420.0
GA,20200321,507.0
GA,20200322,600.0
GA,20200323,772.0
GA,20200324,1026.0
GA,20200325,1247.0
GA,20200326,1525.0
GA,20200327,2001.0
GA,20200328,2366.0
GA,20200329,2651.0
GA,20200330,2809.0
GA,20200331,3929.0
GA,20200401,4638.0
GA,20200402,5348.0
GA,20200403,5831.0
GA,20200404,6160.0
GA,20200405,6647.0
GA,20200406,7314.0
GA,20200407,8818.0
GA,20200408,9901.0
GA,20200409,10566.0
GA,20200410,11483.0
GA,20200411,12159.0
GA,20200412,12452.0
GA,20200413,13315.0
GA,20200414,14223.0
GA,20200415,14987.0
GA,20200416,15669.0
GA,20200417,17194.0
GA,20200418,17669.0
GA,20200419,18301.0
GA,20200420,18947.0
GA,20200421,19881.0
GA,20200422,20740.0
GA,20200423,21512.0
GA,20200424,22147.0
GA,20200425,22695.0
GA,20200426,23401.0
GA,20200427,23913.0
GA,20200428,24615.0
GA,20200429,25572.0
GA,20200430,26155.0
GA,20200501,27270.0
GA,20200502,28306.0
GA,20200503,28602.0
GA,20200504,29368.0
GA,20200505,29711.0
GA,20200506,30696.0
GA,20200507,31439.0
GA,20200508,32106.0
GA,20200509,32532.0
GA,20200510,33441.0
GA,20200511,33927.0
GA,20200512,34635.0
GA,20200513,35332.0
GA,20200514,35858.0
GA,20200515,36681.0
GA,20200516,37147.0
GA,20200517,37701.0
GA,20200518,38081.0
GA,20200519,38721.0
GA,20200520,39647.0
GA,20200521,40405.0
GA,20200522,41218.0
GA,20200523,42132.0
GA,20200524,42838.0
GA,20200525,43344.0
GA,20200526,43730.0
GA,20200527,44421.0
GA,20200528,45070.0
GA,20200529,45670.0
GA,20200530,46286.0
GA,20200531,46986.0
GA,20200601,47618.0
GA,20200602,48207.0
GA,20200603,48894.0
GA,20200604,49847.0
GA,20200605,50621.0
GA,20200606,51309.0
GA,20200607,51898.0
GA,20200608,52497.0
GA,20200609,53249.0
GA,20200610,53980.0
GA,20200611,54973.0
GA,20200612,55783.0
GA,20200613,56801.0
GA,20200614,57681.0
GA,20200615,58414.0
GA,20200616,59078.0
GA,20200617,60030.0
GA,20200618,60912.0
GA,20200619,62009.0
GA,20200620,63809.0
GA,20200621,64701.0
GA,20200622,65928.0
GA,20200623,67678.0
GA,20200624,69381.0
GA,20200625,71095.0
GA,20200626,72995.0
GA,20200627,74985.0
GA,20200628,77210.0
GA,20200629,79417.0
GA,20200630,81291.0
GA,20200701,84237.0
GA,20200702,87709.0
GA,20200703,90493.0
GA,20200704,93319.0
GA,20200705,95516.0
GA,20200706,97064.0
GA,20200707,100470.0
GA,20200708,103890.0
GA,20200709,106727.0
GA,20200710,111211.0
GA,20200711,114401.0
GA,20200712,116926.0
GA,20200713,120569.0
GA,20200714,123963.0
GA,20200715,127834.0
GA,20200716,131275.0
GA,20200717,135183.0
NY,20200304,6.0
NY,20200305,22.0
NY,20200306,33.0
NY,20200307,76.0
