state,date,positive
TX,20200501,29229.0
WA,20200501,16653.0
GA,20200430,26155.0
TX,20200430,28087.0
WA,20200430,16309.0
GA,20200429,25572.0
TX,20200429,27054.0
WA,20200429,16042.0
GA,20200428,24615.0
TX,20200428,26171.0
WA,20200428,15798.0
GA,20200427,23913.0
TX,20200427,25297.0
WA,20200427,15566.0
GA,20200426,23401.0
TX,20200426,24631.0
WA,20200426,15292.0
GA,20200425,22695.0
TX,20200425,23773.0
WA,20200425,15110.0
GA,20200424,22147.0
TX,20200424,22806.0
WA,20200424,14913.0
GA,20200423,21512.0
TX,20200423,21944.0
WA,20200423,14628.0
GA,20200422,20740.0
TX,20200422,21069.0
WA,20200422,14375.0
GA,20200421,19881.0
TX,20200421,20196.0
WA,20200421,14133.0
GA,20200420,18947.0
TX,20200420,19458.0
WA,20200420,13890.0
GA,20200419,18301.0
TX,20200419,18923.0
WA,20200419,13583.0
GA,20200418,17669.0
TX,20200418,18260.0
WA,20200418,13407.0
GA,20200417,17194.0
TX,20200417,17371.0
WA,20200417,13174.0
GA,20200416,15669.0
TX,20200416,16455.0
WA,20200416,12872.0
GA,20200415,14987.0
TX,20200415,15492.0
WA,20200415,12619.0
GA,20200414,14223.0
TX,20200414,14624.0
WA,20200414,12303.0
GA,20200413,13315.0
TX,20200413,13906.0
WA,20200413,12079.0
GA,20200412,12452.0
TX,20200412,13484.0
WA,20200412,11775.0
GA,20200411,12159.0
TX,20200411,12561.0
WA,20200411,11605.0
GA,20200410,11483.0
TX,20200410,11671.0
WA,20200410,11395.0
GA,20200409,10566.0
TX,20200409,10230.0
WA,20200409,11118.0
GA,20200408,9901.0
TX,20200408,9353.0
WA,20200408,10831.0
GA,20200407,8818.0
TX,20200407,8262.0
WA,20200407,10547.0
GA,20200406,7314.0
TX,20200406,7276.0
WA,20200406,10282.0
GA,20200405,6647.0
TX,20200405,6812.0
WA,20200405,9953.0
GA,20200404,6160.0
TX,20200404,6110.0
WA,20200404,9732.0
GA,20200403,5831.0
TX,20200403,5330.0
WA,20200403,9485.0
GA,20200402,5348.0
TX,20200402,4669.0
WA,20200402,9201.0
GA,20200401,4638.0
TX,20200401,3997.0
WA,20200401,8869.0
GA,20200331,3929.0
TX,20200331,3266.0
WA,20200331,8431.0
GA,20200330,2809.0
TX,20200330,2877.0
WA,20200330,8120.0
GA,20200329,2651.0
TX,20200329,2552.0
WA,20200329,7715.0
GA,20200328,2366.0
TX,20200328,2052.0
WA,20200328,7397.0
GA,20200327,2001.0
TX,20200327,1731.0
WA,20200327,7076.0
GA,20200326,1525.0
TX,20200326,1396.0
WA,20200326,6700.0
GA,20200325,1247.0
TX,20200325,974.0
WA,20200325,6329.0
GA,20200324,1026.0
TX,20200324,410.0
WA,20200324,5923.0
GA,20200323,772.0
TX,20200323,352.0
WA,20200323,5568.0
GA,20200322,600.0
TX,20200322,334.0
WA,20200322,5121.0
GA,20200321,507.0
TX,20200321,304.0
WA,20200321,4837.0
GA,20200320,420.0
TX,20200320,194.0
WA,20200320,4551.0
GA,20200319,287.0
TX,20200319,143.0
WA,20200319,4146.0
GA,20200318,197.0
TX,20200318,83.0
WA,20200318,3810.0
GA,20200317,146.0
TX,20200317,64.0
WA,20200317,3432.0
GA,20200316,121.0
TX,20200316,57.0
WA,20200316,3107.0
GA,20200315,99.0
TX,20200315,56.0
WA,20200315,2738.0
GA,20200314,66.0
TX,20200314,51.0
WA,20200314,2484.0
GA,20200313,42.0
TX,20200313,39.0
WA,20200313,2218.0
GA,20200312,31.0
TX,20200312,23.0
WA,20200312,1921.0
GA,20200311,22.0
TX,20200311,21.0
WA,20200311,1665.0
GA,20200310,17.0
TX,20200310,13.0
WA,20200310,1453.0
GA,20200309,12.0
TX,20200309,12.0
WA,20200309,1237.0
GA,20200308,7.0
TX,20200308,8.0
WA,20200308,1065.0
GA,20200307,6.0
TX,20200307,8.0
WA,20200307,912.0
GA,20200306,2.0
TX,20200306,5.0
WA,20200306,813.0
GA,20200305,2.0
TX,20200305,1.0
WA,20200305,731.0
GA,20200304,2.0
TX,20200304,1.0
WA,20200304,626.0
WA,20200303,534.0
WA,20200302,450.0
WA,20200301,377.0
WA,20200229,299.0
WA,20200228,275.0
WA,20200227,235.0
WA,20200226,208.0
WA,20200225,179.0
WA,20200224,148.0
WA,20200223,122.0
WA,20200222,106.0
WA,20200221,93.0
WA,20200220,82.0
WA,20200219,69.0
WA,20200218,59.0
WA,20200217,50.0
WA,20200216,35.0
WA,20200215,28.0
WA,20200214,21.0
WA,20200213,18.0
WA,20200212,18.0
